,date,gamma_0,gamma_market,gamma_smb,gamma_hml
0,2020-10-15,,,,
1,2020-10-16,-0.00849588702628215,-0.0008672024975972502,-3.35750642865775e-05,0.0011866166320299095
2,2020-10-19,-0.0019344384462259274,-0.0018401937944992734,-0.0001343723818389086,0.0009859990710095684
3,2020-10-20,0.0018330070286144355,-0.0005427364942589896,-5.173536539501285e-05,-0.000934743517704315
4,2020-10-21,0.008079528740325971,-0.0018425434529643365,-0.0001224930236560921,0.001574323361297399
5,2020-10-22,-0.012840499861215677,0.0007931931230615905,5.640740762135966e-05,-0.000515189307191637
6,2020-10-23,0.0006882859870890961,0.0006540260656092775,3.50324933693125e-05,2.1421391477788104e-06
7,2020-10-26,-0.025865570618417592,-0.00020077154803502622,1.8253727860466024e-05,0.0016495220056002703
8,2020-10-27,-0.00392783638873688,0.001432369680624699,0.0001255611569937627,0.000323964235614981
9,2020-10-28,0.019097048903759455,0.000593288106912381,1.749681294671203e-05,-0.0011304251592977757
10,2020-10-29,-0.0023803342062495717,-0.0003725775700596383,-5.8765588061664716e-05,-0.0009182857108276693
11,2020-10-30,-0.022185624170343223,-0.0018971579756194164,-0.00012833737522263033,0.001620922058420729
12,2020-11-02,0.01713154808994226,-0.00039116976791478696,-2.78133825172241e-05,-7.85006635995404e-05
13,2020-11-03,0.017624110447865438,-0.000653685137068338,-0.00010093529119719637,-0.0018175821824948817
14,2020-11-04,0.003929179076131741,0.00013755419618435567,3.873722361668543e-05,0.0003246129098788814
15,2020-11-05,0.020040728348248785,-8.573375009476077e-05,-2.5258187166098105e-05,-0.0002243645235185187
16,2020-11-06,-0.006140160864182739,0.00018080280132565962,8.404266122593015e-06,0.00015763426822445716
17,2020-11-09,0.02055566343512067,0.0014656757125489043,0.00015346951955204314,-2.4180796649656022e-05
18,2020-11-10,-0.001589153012146633,1.1995791748703135e-05,-1.5751243543164614e-05,-0.0003161821844700328
19,2020-11-11,0.0036298216273391954,-0.0004194279163264132,-5.321807163805268e-05,-0.0008147021168038626
20,2020-11-12,-0.0007516874801175547,0.0006255903516025414,6.985964497705063e-05,0.0004637593092054485
21,2020-11-13,-0.002673087203954477,0.0004871880937691458,5.746466320375704e-05,0.00043047503325084136
22,2020-11-16,0.008382845948011228,0.0018058074729672563,0.00017993441191383537,0.0004981396392997615
23,2020-11-17,-0.005077369625276997,-0.0014106615187373251,-0.00013659762375840178,-0.0005941050926553016
24,2020-11-18,0.010660846103182629,0.0009669344590852241,7.810711685030278e-05,5.229317425028171e-05
25,2020-11-19,0.005423345027604703,0.0012711437568555402,0.00010816371787982327,-4.957399386505906e-05
26,2020-11-20,0.01613027586100473,-0.0008446416700800293,-6.348467147689562e-05,0.0005117994166778225
27,2020-11-23,0.008075788708289702,0.002669047956794468,0.0002578184244079971,-0.00026265447438319437
28,2020-11-24,-0.0064607298462271735,0.0038738184139998945,0.00033411805572863183,-0.000881881544744826
29,2020-11-25,-0.009223037510441387,-0.001040889547332924,-8.987404664669477e-05,-0.00022363783731840697
30,2020-11-26,0.0033976415201838472,-0.00032997249372195166,-3.116617038753128e-05,0.00019560160797522263
31,2020-11-27,0.008783998191715667,0.00045130249585243067,1.308836419313446e-05,-0.0008682938540443049
32,2020-11-30,-0.003430321734020021,-0.0003832740773212286,-7.169306272103196e-05,-0.000218639764444588
33,2021-01-01,-3.9682539682539676e-05,-2.541098841762901e-21,-1.495542547495874e-21,1.2705494208814505e-21
34,2021-01-04,0.005430770426228711,0.004262609926768824,0.00038967362712455334,-0.0005294320676370924
35,2021-01-05,0.011557520752774685,0.002355660702335143,0.00010636666948685627,-0.00019460252666502893
36,2021-01-06,-0.0004978576833200132,-9.060275855268671e-05,6.18773593242523e-05,0.0008949234852368509
37,2021-01-07,0.010572231425549796,0.0008180816414346999,0.00010479475128472108,4.4679146573137874e-05
38,2021-01-08,0.0016181523398938612,0.001285938359146863,0.00011569913080798962,-0.00046714785491695733
39,2021-01-11,-0.02279854466261578,0.0012279984896647537,6.82872378309948e-05,-0.0003035290024796554
40,2021-01-12,-0.0007003267761438469,3.7896218100742376e-06,2.532500921422064e-05,0.00019003080384497598
41,2021-01-13,0.010572495692256396,-0.0003303355109628876,-1.772238910695488e-05,0.00012122708847375877
42,2021-01-14,0.004179483588697957,0.000986265155727054,9.989818708140465e-05,0.0001969486697875123
43,2021-01-15,-0.010971697011087298,-0.0009499081426315397,-0.00010199560408271744,-0.00021751529938236506
44,2021-01-18,-0.01975354241914775,-0.001358600610010502,-0.00013886028266154652,-0.0004125054218074224
45,2021-01-19,0.018175536343990946,0.00150468313400394,9.595255505090913e-05,-0.0016390919056474005
46,2021-01-20,0.010260213757559353,0.0009112584516988981,7.617767480463605e-05,-0.0004732773962597583
47,2021-01-21,0.0071274685624746845,-1.699576648977658e-05,4.548104134324432e-05,0.0011797472497131621
48,2021-01-22,-0.0018539431962994485,0.001044833414535456,8.948267041325865e-05,-0.00016983259862907025
49,2021-01-25,0.016310161625564167,-0.00029336338091259676,-2.5286610627860967e-05,-0.00019132561962486184
50,2021-01-26,-0.009078414848528848,-0.00011455144735875497,-5.048935926018255e-06,0.0003537978985756909
51,2021-01-27,-0.008483487040508672,0.0005337977188189418,2.3085086987550735e-05,-0.0007954443951754906
