,alpha,beta_market,beta_smb,beta_hml,r_squared
255244,-0.0010133181743039697,0.9138222744641814,-0.582132783682697,-0.7930578472357069,0.01929406648759513
322757,2.550214399565771e-05,0.33184809528530207,-0.5093772675781356,-0.249732529018222,0.004947992925039113
286668,0.7915689750794489,109.37330328589972,-1192.3826887448117,35.40574584612761,0.012641609948230492
273518,-0.000745519679425988,0.8251068322596685,-0.1940796626847426,0.0241115409302406,0.009653646676263672
203215,-0.00033925504863542815,0.9144829737065143,0.0847423117925138,0.26161307468774686,0.01482031870863676
104606,0.0006229468102485814,0.7418639221848531,0.6452064065641875,0.421573657012836,0.007980132571698162
257109,0.0001483942984145461,-0.16956514104338125,1.0421521319267764,0.32101026900012775,0.003635756975620019
243260,-0.0007371870490922831,0.48737107188839573,-0.6600020425177028,-0.2990565883503097,0.004301129692175221
318675,-0.00035079756372804983,0.7314651311780607,-0.21728847069841717,0.12389642957955259,0.011834331767049178
325060,-0.00023678998883280259,1.1783524325584591,-0.9970825677718048,0.25422170248285575,0.01602615475416236
338844,-0.0013632020813027655,0.5861383359071162,-0.2017934554059743,-0.8492078240849114,0.008198395122266833
294611,0.0009091209569132121,0.6448599000001136,-0.3831555078060197,0.2155826545766129,0.010320074742773189
324259,-0.0017340443730128705,0.7302700735604891,0.9414784572873914,-0.6237712924607753,0.00874388522385594
315138,0.007399211623878,1.8833020259725226,38.59944935229479,-6.131777841125483,0.005348898674447211
104599,0.003097956273790269,-2.263428339979006,-1.8088150879708442,-0.08394726709675726,0.0060481706632631305
209864,-0.000179004753732418,1.4836071596717373,0.31028315486613545,0.11008772838926326,0.0032814799567890685
274764,0.0006273749114019131,0.749782623871826,0.5050575163837855,0.3922108926434793,0.009303639333978042
340335,-0.0010522365260388633,1.2870956892622332,0.5766275999870816,-1.0558398929547441,0.01930502764000963
248518,-0.002502031202552973,0.11653242673111809,-1.7536494036059596,-0.8863467920986215,0.0020039016696759004
223138,-0.0014371254146604141,0.8599637297388609,0.8071578104569124,0.3553823759142238,0.006946008760660538
207903,0.0013384066641158598,0.15567259523108642,-1.2347367250463113,-0.7865897461693058,0.0037349626855599505
203959,-0.002272984786285543,1.157731387059352,0.39452540759928406,-0.6552835299534563,0.01875310973797728
137802,-0.0020420663230081544,1.0440291837172253,-1.230606294435236,-1.233831532734898,0.012264980324212638
286789,0.022472481080930057,0.4139955316379491,-30.585829159258488,-3.1804438885421313,0.013519614687384274
252819,0.0006376337138716945,0.4368740729680394,0.08274715593340765,0.0641045594744404,0.004980610380965755
242576,-0.00041452548548961114,0.4157916539212155,0.33811858836973957,-0.06480053040150997,0.0031382099660527407
203819,0.007067358888136801,2.147967398937549,-2.505599444476595,-5.450893010151206,0.0014878067797307049
240136,-0.00030636206955590413,1.3611002438069466,0.8818464042730065,-0.20296494368013335,0.021287270943108783
282606,0.020304717782566085,4.369487058209198,-33.996835552780574,-21.642632127511153,0.017730112394125697
160739,-0.0012064757476347061,1.2743748922068032,1.3912742129105244,0.6339256688482564,0.017972149533233006
321071,0.025730807171836012,7.032380871381055,-8.016644008809154,9.819983353665963,0.003083702814959066
324941,-0.0006687566192995886,0.12461319151496424,0.17698630028508033,-0.3091136085493703,0.00172568649196847
243241,-0.0003681607738169779,0.4708861772452137,0.3482687406139063,0.2024316960090304,0.00925236248582062
295793,0.011595255151562314,0.8244745534754255,-33.73479087048797,-23.79150245860337,0.010586932094676649
