date,RF
2020-10-31,0.05663157894736842
2020-11-30,0.05831349206349206
2020-12-31,0.05990530303030303
2021-01-31,0.05790833333333333
2021-02-28,0.05592592592592593
2021-03-31,0.0570189393939394
2021-04-30,0.05488257575757576
2021-05-31,0.05087719298245614
2021-06-30,0.06653409090909092
2021-07-31,0.07586742424242425
2021-08-31,0.08337698412698413
2021-09-30,0.08939035087719299
2021-10-31,0.09818859649122808
2021-11-30,0.11156439393939394
2021-12-31,0.1099927536231884
2022-01-31,0.1185125
2022-02-28,0.12333796296296297
2022-03-31,0.1321468253968254
2022-04-30,0.16687301587301587
2022-05-31,0.17073809523809524
2022-06-30,0.21658750000000002
2022-07-31,0.24648809523809523
2022-08-31,0.24892803030303032
2022-09-30,0.27395
2022-10-31,0.30019736842105266
2022-11-30,0.3198446969696969
2022-12-31,0.3087310606060606
2023-01-31,0.2986666666666667
2023-02-28,0.2939666666666667
2023-03-31,0.28770454545454544
2023-04-30,0.27114999999999995
2023-05-31,0.28470416666666665
2023-06-30,0.2926031746031746
2023-07-31,0.29750396825396824
2023-08-31,0.291344696969697
2023-09-30,0.3008508771929824
2023-10-31,0.3117280701754386
2023-11-30,0.31013636363636365
2023-12-31,0.2930041666666667
2024-01-31,0.2819886363636364
2024-02-29,0.2861271929824561
2024-03-31,0.281175
2024-04-30,0.2866309523809524
2024-05-31,0.2861291666666667
2024-06-30,0.2783859649122807
2024-07-31,0.26741304347826084
2024-08-31,0.2560674603174603
2024-09-30,0.24490740740740738
2024-10-31,0.23808333333333334
2024-11-30,0.23837698412698413
2024-12-31,0.22576190476190475
2025-01-31,0.21977777777777777
2025-02-28,0.22117083333333334
2025-03-31,0.2176916666666667
2025-04-30,0.20679166666666668
2025-05-31,0.1922061403508772
2025-06-30,0.19087280701754386
2025-07-31,0.1923514492753623
2025-08-31,0.18862083333333332
2025-09-30,0.18997348484848484
2025-10-31,0.1925
